City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Dharmapuri,IN,12.1333,78.1667,79.41,60,99,9.35,overcast clouds
317,Port Blair,IN,11.6667,92.75,83.26,80,100,19.91,overcast clouds
318,Tambura,SS,5.6,27.4667,67.39,98,100,2.93,light rain
319,Senador Pompeu,BR,-5.5881,-39.3717,73.22,61,57,8.9,broken clouds
320,Makungu,TZ,-8.7333,35.2833,51.98,93,10,2.19,clear sky
321,Ridgecrest,US,35.6225,-117.6709,98.46,12,1,8.01,clear sky
322,Ibra,OM,22.6906,58.5334,86.23,50,99,4.12,overcast clouds
323,Meulaboh,ID,4.1363,96.1285,81.07,72,93,0.98,overcast clouds
324,Kontagora,NG,10.3999,5.4695,70.56,96,80,2.3,light rain
325,Sangar,RU,63.9242,127.4739,79.02,27,91,7.2,overcast clouds
326,Amapa,BR,1.0,-52.0,70.66,99,79,1.99,broken clouds
327,Kadhan,PK,24.481,68.9859,85.14,69,87,20.13,overcast clouds
328,Lorengau,PG,-2.0226,147.2712,85.41,71,42,9.66,scattered clouds
329,Thinadhoo,MV,0.5333,72.9333,80.83,74,92,4.61,light rain
330,Marolambo,MG,-20.05,48.1167,54.01,98,19,2.53,few clouds
331,Opuwo,NA,-18.0607,13.84,55.45,38,0,6.02,clear sky
332,Jashpurnagar,IN,22.9,84.15,75.07,82,87,9.89,overcast clouds
333,Atambua,ID,-9.1061,124.8925,85.15,50,8,3.49,clear sky
334,Isiro,CD,2.7739,27.616,65.07,99,100,1.57,overcast clouds
335,Port Lincoln,AU,-34.7333,135.8667,53.55,73,100,16.51,overcast clouds
336,Ronne,DK,55.1009,14.7066,60.71,77,40,13.8,scattered clouds
337,Sao Filipe,CV,14.8961,-24.4956,75.24,76,19,0.72,few clouds
338,Upernavik,GL,72.7868,-56.1549,41.54,82,3,10.49,clear sky
339,Laguna,US,38.421,-121.4238,94.82,39,1,5.99,clear sky
340,Gimli,CA,50.6336,-96.9907,68.05,50,0,2.33,clear sky
341,Luanda,AO,-8.8368,13.2343,72.3,86,100,3.6,overcast clouds
342,Nemuro,JP,43.3236,145.575,67.19,98,99,1.86,overcast clouds
343,Beringovskiy,RU,63.05,179.3167,45.34,75,99,23.06,overcast clouds
344,Komsomolskiy,UZ,40.4272,71.7189,80.02,41,10,0.0,clear sky
345,Lashio,MM,22.9333,97.75,69.66,99,100,1.81,overcast clouds
